Δήμος;Διαθέσιμα;Απλήρωτες Υποχρεώσεις σε Τρίτους (ΜΔ);Εκκρεμείς υποχρεώσεις σε Τρίτους (ΜΔ);Ληξιπρόθεσμες υποχρεώσεις σε Τρίτους (ΜΔ)
ΔΗΜΟΣ ΚΟΝΙΤΣΑΣ;4.829.629;324.462;300.987;52.34
ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ;10.146.763;1.398.488;1.369.387;6.244
ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ;29.496.904;1.195.821;931.422;23.951
ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ;1.689.764;2.109.220;2.073.909;156.2
ΔΗΜΟΣ ΚΡΩΠΙΑΣ;10.458.211;1.497.172;186.157;25.762
ΔΗΜΟΣ ΚΥΘΗΡΩΝ;2.353.555;291.801;291.801;104.35
ΔΗΜΟΣ ΚΥΘΝΟΥ;581.3;95.803;52.798;1.28
ΔΗΜΟΣ ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ;3.845.873;1.543.586;1.285.344;676.553
ΔΗΜΟΣ ΚΩ;22.471.006;2.315.775;2.315.477;156.173
ΔΗΜΟΣ ΛΑΓΚΑΔΑ;7.904.049;588.911;573.22;12.455
ΔΗΜΟΣ ΛΑΜΙΕΩΝ;10.306.308;2.109.364;1.477.411;84.732
ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ;19.889.799;4.638.482;4.635.395;406.847
ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ;2.264.958;3.643.447;3.631.097;99.049
ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ;5.742.515;1.161.499;412.907;73.388
ΔΗΜΟΣ ΛΕΙΨΩΝ;0;61.031;57.604;13.116
ΔΗΜΟΣ ΛΕΡΟΥ;2.687.224;1.052.002;1.051.157;186.185
ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ;6.413.898;2.153.106;2.050.044;199.342
ΔΗΜΟΣ ΛΗΜΝΟΥ;4.539.591;1.116.000;1.078.400;281.402
ΔΗΜΟΣ ΛΗΞΟΥΡΙΟΥ;737.503;927.529;918.744;196.316
ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ;327.159;924.139;911.943;541.338
ΔΗΜΟΣ ΛΟΚΡΩΝ;804.412;2.408.168;2.408.148;255.643
ΔΗΜΟΣ ΛΟΥΤΡΑΚΙΟΥ-ΠΕΡΑΧΩΡΑΣ-ΑΓΙΩΝ;5.025.742;699.848;667.752;60.574
ΘΕΟΔΩΡΩΝ;;;;
ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ-ΠΕΥΚΗΣ;2.424.391;671.465;656.986;214.985
