Value,isCovid,isHoliday,isChristmas,isWeekday,isSummer,Date
4.42000000000002,0,0,0,0,0,2019-04-06 00:00:00
3.88999999999999,0,0,0,0,0,2019-04-07 00:00:00
3.75999999999999,0,0,0,1,0,2019-04-08 00:00:00
4.13999999999999,0,0,0,1,0,2019-04-09 00:00:00
3.85000000000002,0,0,0,1,0,2019-04-10 00:00:00
4.34999999999997,0,0,0,1,0,2019-04-11 00:00:00
4.10000000000002,0,0,0,1,0,2019-04-12 00:00:00
3.54000000000002,0,0,0,0,0,2019-04-13 00:00:00
3.45999999999998,0,0,0,0,0,2019-04-14 00:00:00
3.41000000000003,0,0,0,1,0,2019-04-15 00:00:00
3.66999999999996,0,0,0,1,0,2019-04-16 00:00:00
3.15000000000003,0,0,0,1,0,2019-04-17 00:00:00
3.20999999999998,0,0,0,1,0,2019-04-18 00:00:00
3.50999999999999,0,0,0,1,0,2019-04-19 00:00:00
3.78000000000003,0,0,0,0,0,2019-04-20 00:00:00
4.10999999999996,0,0,0,0,0,2019-04-21 00:00:00
3.99000000000001,0,0,0,1,0,2019-04-22 00:00:00
4.98000000000002,0,0,0,1,0,2019-04-23 00:00:00
4.06,0,0,0,1,0,2019-04-24 00:00:00
4.65999999999997,0,0,0,1,0,2019-04-25 00:00:00
3.92000000000002,0,0,0,1,0,2019-04-26 00:00:00
4.0,0,0,0,0,0,2019-04-27 00:00:00
3.66000000000003,0,0,0,0,0,2019-04-28 00:00:00
4.00999999999999,0,1,0,1,0,2019-04-29 00:00:00
3.86000000000001,0,0,0,1,0,2019-04-30 00:00:00
3.69999999999999,0,1,0,1,0,2019-05-01 00:00:00
3.70999999999998,0,0,0,1,0,2019-05-02 00:00:00
6.22000000000003,0,0,0,1,0,2019-05-03 00:00:00
6.52999999999997,0,0,0,0,0,2019-05-04 00:00:00
3.87,0,0,0,0,0,2019-05-05 00:00:00
3.11000000000001,0,0,0,1,0,2019-05-06 00:00:00
3.84000000000003,0,0,0,1,0,2019-05-07 00:00:00
3.50999999999999,0,0,0,1,0,2019-05-08 00:00:00
3.82999999999993,0,0,0,1,0,2019-05-09 00:00:00
3.17000000000007,0,0,0,1,0,2019-05-10 00:00:00
3.40999999999997,0,0,0,0,0,2019-05-11 00:00:00
3.27999999999997,0,0,0,0,0,2019-05-12 00:00:00
3.42000000000007,0,0,0,1,0,2019-05-13 00:00:00
4.28999999999996,0,0,0,1,0,2019-05-14 00:00:00
3.0,0,0,0,1,0,2019-05-15 00:00:00
3.18999999999994,0,0,0,1,0,2019-05-16 00:00:00
2.83000000000004,0,0,0,1,0,2019-05-17 00:00:00
2.41999999999996,0,0,0,0,0,2019-05-18 00:00:00
1.67000000000007,0,0,0,0,0,2019-05-19 00:00:00
1.78999999999996,0,0,0,1,0,2019-05-20 00:00:00
2.22000000000003,0,0,0,1,0,2019-05-21 00:00:00
2.03999999999996,0,0,0,1,0,2019-05-22 00:00:00
2.64999999999998,0,0,0,1,0,2019-05-23 00:00:00
3.82000000000005,0,0,0,1,0,2019-05-24 00:00:00
2.75999999999999,0,0,0,0,0,2019-05-25 00:00:00
2.63,0,0,0,0,0,2019-05-26 00:00:00
3.24000000000001,0,0,0,1,0,2019-05-27 00:00:00
2.12,0,0,0,1,0,2019-05-28 00:00:00
2.13,0,0,0,1,0,2019-05-29 00:00:00
4.33000000000004,0,0,0,1,0,2019-05-30 00:00:00
2.43999999999994,0,0,0,1,0,2019-05-31 00:00:00
1.97000000000003,0,0,0,0,0,2019-06-01 00:00:00
1.99000000000001,0,0,0,0,0,2019-06-02 00:00:00
3.06999999999994,0,0,0,1,0,2019-06-03 00:00:00
2.57000000000005,0,0,0,1,0,2019-06-04 00:00:00
3.37,0,0,0,1,0,2019-06-05 00:00:00
3.09000000000003,0,0,0,1,0,2019-06-06 00:00:00
2.59999999999991,0,0,0,1,0,2019-06-07 00:00:00
1.85000000000002,0,0,0,0,0,2019-06-08 00:00:00
0.790000000000077,0,0,0,0,0,2019-06-09 00:00:00
0.879999999999995,0,0,0,1,0,2019-06-10 00:00:00
1.56999999999994,0,0,0,1,0,2019-06-11 00:00:00
2.51999999999998,0,0,0,1,0,2019-06-12 00:00:00
6.06000000000006,0,0,0,1,0,2019-06-13 00:00:00
1.67999999999995,0,0,0,1,0,2019-06-14 00:00:00
2.0,0,0,0,0,0,2019-06-15 00:00:00
1.85000000000002,0,0,0,0,1,2019-06-16 00:00:00
1.81000000000006,0,1,0,1,1,2019-06-17 00:00:00
1.78999999999996,0,0,0,1,1,2019-06-18 00:00:00
2.46000000000004,0,0,0,1,1,2019-06-19 00:00:00
1.88999999999999,0,0,0,1,1,2019-06-20 00:00:00
1.61000000000001,0,0,0,1,1,2019-06-21 00:00:00
1.34999999999991,0,0,0,0,1,2019-06-22 00:00:00
1.09000000000003,0,0,0,0,1,2019-06-23 00:00:00
1.01999999999998,0,0,0,1,1,2019-06-24 00:00:00
1.95000000000005,0,0,0,1,1,2019-06-25 00:00:00
1.59000000000003,0,0,0,1,1,2019-06-26 00:00:00
1.4799999999999,0,0,0,1,1,2019-06-27 00:00:00
2.73000000000002,0,0,0,1,1,2019-06-28 00:00:00
4.25,0,0,0,0,1,2019-06-29 00:00:00
1.08000000000004,0,0,0,0,1,2019-06-30 00:00:00
1.19999999999993,0,0,0,1,1,2019-07-01 00:00:00
1.20000000000005,0,0,0,1,1,2019-07-02 00:00:00
2.10000000000002,0,0,0,1,1,2019-07-03 00:00:00
2.42999999999995,0,0,0,1,1,2019-07-04 00:00:00
2.38999999999999,0,0,0,1,1,2019-07-05 00:00:00
2.29000000000008,0,0,0,0,1,2019-07-06 00:00:00
2.33999999999992,0,0,0,0,1,2019-07-07 00:00:00
3.0,0,0,0,1,1,2019-07-08 00:00:00
1.84000000000003,0,0,0,1,1,2019-07-09 00:00:00
1.69000000000005,0,0,0,1,1,2019-07-10 00:00:00
1.67999999999995,0,0,0,1,1,2019-07-11 00:00:00
1.80000000000007,0,0,0,1,1,2019-07-12 00:00:00
1.82999999999993,0,0,0,0,1,2019-07-13 00:00:00
1.97000000000003,0,0,0,0,1,2019-07-14 00:00:00
1.93999999999994,0,0,0,1,1,2019-07-15 00:00:00
2.04000000000008,0,0,0,1,1,2019-07-16 00:00:00
2.09000000000003,0,0,0,1,1,2019-07-17 00:00:00
2.15999999999997,0,0,0,1,1,2019-07-18 00:00:00
2.02999999999997,0,0,0,1,1,2019-07-19 00:00:00
