Date,Value,isCovid,isHoliday,isChristmas,isWeekday,isSummer,index
2020-06-14 00:00:00,12.6700000000001,0,0,0,0,0,1
2020-06-15 00:00:00,12.37,0,0,0,1,0,1
2020-06-16 00:00:00,13.25,0,0,0,1,1,1
2020-06-17 00:00:00,12.99,0,0,0,1,1,1
2020-06-18 00:00:00,13.26,0,0,0,1,1,1
2020-06-19 00:00:00,10.04,0,0,0,1,1,1
2020-06-20 00:00:00,1.93999999999994,0,0,0,0,1,1
2020-06-21 00:00:00,1.87,0,0,0,0,1,1
2020-06-22 00:00:00,0.460000000000036,0,0,0,1,1,1
2020-06-23 00:00:00,1.53999999999996,0,0,0,1,1,1
2020-06-24 00:00:00,1.22000000000003,0,0,0,1,1,1
2020-06-25 00:00:00,0.870000000000005,0,0,0,1,1,1
2020-06-26 00:00:00,2.82000000000005,0,0,0,1,1,1
2020-06-27 00:00:00,2.71999999999991,0,0,0,0,1,1
2020-06-28 00:00:00,0.0,0,0,0,0,1,1
2020-06-29 00:00:00,0.0,0,0,0,1,1,1
2020-06-30 00:00:00,1.13,0,0,0,1,1,1
2020-07-01 00:00:00,0.800000000000068,0,0,0,1,1,1
2020-07-02 00:00:00,1.13,0,0,0,1,1,1
2020-07-03 00:00:00,1.23000000000002,0,0,0,1,1,1
2020-07-04 00:00:00,1.25,0,0,0,0,1,1
2020-07-05 00:00:00,0.0399999999999636,0,0,0,0,1,1
2020-07-06 00:00:00,0.0,0,0,0,1,1,1
2020-07-07 00:00:00,1.10000000000002,0,0,0,1,1,1
2020-07-08 00:00:00,0.809999999999945,0,0,0,1,1,1
2020-07-09 00:00:00,1.48000000000002,0,0,0,1,1,1
2020-07-10 00:00:00,0.879999999999995,0,0,0,1,1,1
2020-07-11 00:00:00,2.47000000000003,0,0,0,0,1,1
2020-07-12 00:00:00,0.07000000000005,0,0,0,0,1,1
2020-07-13 00:00:00,0.0,0,0,0,1,1,1
2020-07-14 00:00:00,1.0,0,0,0,1,1,1
