ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
0,38.0024465,23.8042084,119,ΧΟΛΑΡΓΟΥ,5/8,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973 119  Δήμος ΧΟΛΑΡΓΟΥ ΤΚ 15562,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973,2&3 Δ.Σ 2&3ΝΗΠ  ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΣ,15562.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29439,26",10.0,12.0
1,38.0608833,23.8363941,9,ΜΕΛΙΣΣΙΩΝ,,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973 9  Δήμος ΜΕΛΙΣΣΙΩΝ ΤΚ 15127,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973,2 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΛΙΣΣΙΩΝ,ΜΕΛΙΣΣΙΑ,15127.0,ΠΕΝΤΕΛΗΣ,35439.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"32773,79",117.0,110.0
2,37.9642097,23.5904686,13,ΠΕΡΑΜΑΤΟΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 13  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,25ΗΣ ΜΑΡΤΙΟΥ,5 ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΑΜΑΤΟΣ,ΠΕΡΑΜΑ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",21.0,23.0
3,37.947714,23.7117293,3,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 3  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17121,25ΗΣ ΜΑΡΤΙΟΥ,,ΝΕΑ ΣΜΥΡΝΗ,17121.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26983,55",0.0,0.0
4,37.9639915,23.5921866,31,ΠΕΡΑΜΑΤΟΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 31  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,25ΗΣ ΜΑΡΤΙΟΥ,2Ο Ν/ΓΕΙΟ ΔΗΜ ΠΕΡΑΜ,ΠΕΡΑΜΑ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",142.0,127.0
5,38.0047591,23.7797255,4,ΝΕΟΥ ΨΥΧΙΚΟΥ,1,25ΗΣ ΜΑΡΤΙΟΥ 4  Δήμος ΝΕΟΥ ΨΥΧΙΚΟΥ ΤΚ 15451,25ΗΣ ΜΑΡΤΙΟΥ,2 ΔΗΜ ΣΧΟΛ Ν ΨΥΧΙΚΟ,ΝΕΟ ΨΥΧΙΚΟ,15451.0,ΦΙΛΟΘΕΗΣ – ΨΥΧΙΚΟΥ,27400.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"35671,5",137.0,135.0
6,37.9560583,23.6495478,9,ΠΕΙΡΑΙΩΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 9 Α Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18543,25ΗΣ ΜΑΡΤΙΟΥ,40  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΛΕΥΚΑ,18543.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19233,37",80.0,92.0
7,37.963422,23.6223708,206,ΚΕΡΑΤΣΙΝΙΟΥ,5/8,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ. 206  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18756,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ.,20 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΧΑΛΚΗΔΩΝ,18756.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19669,7",60.0,64.0
8,38.0458266,23.676526,6,ΠΕΤΡΟΥΠΟΛΕΩΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ. 6  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ.,ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",22.0,21.0
9,38.0363568,23.6776753,117,ΠΕΤΡΟΥΠΟΛΕΩΣ,1.5,28ΗΣ ΟΚΤΩΒΡΙΟΥ 117  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,28ΗΣ ΟΚΤΩΒΡΙΟΥ,2 ΛΥΚΕΙΟ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",143.0,172.0
10,37.9708441,23.7754377,6,ΖΩΓΡΑΦΟΥ,5/8,28ΗΣ ΟΚΤΩΒΡΙΟΥ 6  Δήμος ΖΩΓΡΑΦΟΥ ΤΚ 15772,28ΗΣ ΟΚΤΩΒΡΙΟΥ,8 ΝΗΠΙΑΓΩΓΕΙΟ,ΖΩΓΡΑΦΟΥ,15772.0,ΖΩΓΡΑΦΟΥ,69857.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23759,22",9.0,8.0
11,37.8910032,23.7436196,8,ΕΛΛΗΝΙΚΟΥ,5/8,31Η 8  Δήμος ΕΛΛΗΝΙΚΟΥ ΤΚ 16777,31Η,2ΟΝ  ΓΥΜΝΑΣΙΟ-ΛΥΚΕΙΟ ΕΛΛΗΝΙΚΟΥ,ΕΛΛΗΝΙΚΟ,16777.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26186,92",98.0,95.0
12,37.8894145999999,23.7467574,20,ΕΛΛΗΝΙΚΟΥ,5/8,33Η 20  Δήμος ΕΛΛΗΝΙΚΟΥ ΤΚ 16777,33Η,1 & 2 ΓΥΜΝΑΣΙΟ ΕΛΛΗΝΙΚΟΥ,ΕΛΛΗΝΙΚΟ,16777.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26186,92",131.0,103.0
13,37.892447,23.7467764,2,ΕΛΛΗΝΙΚΟΥ,,35Η 2  Δήμος ΕΛΛΗΝΙΚΟΥ ΤΚ 16777,35Η,Β' ΔΗΜΟΤΙΚΟ,ΕΛΛΗΝΙΚΟ,16777.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26186,92",157.5,150.0
14,37.8999887,23.7559844,68,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΑΒΕΡΩΦ 68  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΑΒΕΡΩΦ,4 ΛΥΚΕΙΟ ΑΡΓ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",0.0,0.0
15,38.0270543,23.7403394,55,ΑΘΗΝΑΙΩΝ,1,ΑΒΙΑΣ 55 Ξ Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11142,ΑΒΙΑΣ,68 ΓΥΜΝΑΣΙΟ,ΡΙΖΟΥΠΟΛΗ ΑΓ. ΑΝΤΩΝΙΟΣ,11142.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22769,28",154.0,149.0
16,38.0278184,23.7231654,45,ΑΓ. ΑΝΑΡΓΥΡΩΝ,5/8,ΑΓ. ΑΝΑΡΓΥΡΩΝ 45  Δήμος ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΚ 13561,ΑΓ. ΑΝΑΡΓΥΡΩΝ,1  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΓ. ΑΝΑΡΓΥΡΟΙ,13561.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20219,73",134.0,108.0
17,38.0098948,23.6772891,2,ΠΕΡΙΣΤΕΡΙΟΥ,1.5,ΑΓ. ΑΝΑΣΤΑΣΙΑΣ 2  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12136,ΑΓ. ΑΝΑΣΤΑΣΙΑΣ,5 ΓΥΜΝ. & 5 ΛΥΚΕΙΟ,ΠΕΡΙΣΤΕΡΙ,12136.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19205,96",0.0,0.0
18,37.9439855,23.7103156,18,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΑΓ. ΑΝΔΡΕΟΥ 18  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17122,ΑΓ. ΑΝΔΡΕΟΥ,1 ΛΥΚΕΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17122.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26456,48",81.0,103.0
19,38.0624882,23.7268922,51,ΑΧΑΡΝΩΝ,5/8,ΑΓ. ΑΝΝΗΣ 51  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13671,ΑΓ. ΑΝΝΗΣ,9 ΔΗΜΟΤΙΚΟ ΑΧΑΡΝΩΝ,ΑΓ. ΑΝΝΑ,13671.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"18548,71",141.0,169.0
20,37.9795799,23.7195161,37,ΑΘΗΝΑΙΩΝ,5/8,ΑΓ. ΑΣΩΜΑΤΩΝ 37  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10553,ΑΓ. ΑΣΩΜΑΤΩΝ,49 ΔΗΜΟΤΙΚΟ / 84 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΕΡΑΜΕΙΚΟΣ,10553.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"17451,99",0.0,0.0
21,37.9005646,23.7484095,1,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,1/2,ΑΓ. ΒΑΡΒΑΡΑΣ 1  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16452,ΑΓ. ΒΑΡΒΑΡΑΣ,3 ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16452.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"22372,15",109.0,108.0
22,38.0558774,23.7582334,34,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,1.5,ΑΓ. ΒΑΡΒΑΡΑΣ 34  Δήμος ΜΕΤΑΜΟΡΦΩΣΕΩΣ ΤΚ 14451,ΑΓ. ΒΑΡΒΑΡΑΣ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Α/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΜΕΤΑΜΟΡΦΩΣΗ,14451.0,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,30170.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"22083,11",0.0,0.0
23,37.9498125,23.7347711,71,ΔΑΦΝΗΣ,1,ΑΓ. ΒΑΡΒΑΡΑΣ 71  Δήμος ΔΑΦΝΗΣ ΤΚ 17235,ΑΓ. ΒΑΡΒΑΡΑΣ,1 ΔΗΜΟΤΙΚΟ,ΔΑΦΝΗ,17235.0,ΔΑΦΝΗΣ – ΥΜΗΤΤΟΥ,33850.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21828,97",92.0,114.0
24,38.0679035,23.7863617,28,ΛΥΚΟΒΡΥΣΕΩΣ,2,ΑΓ. ΒΑΡΒΑΡΑΣ ΛΕΩΦ. 28  Δήμος ΛΥΚΟΒΡΥΣΕΩΣ ΤΚ 14123,ΑΓ. ΒΑΡΒΑΡΑΣ ΛΕΩΦ.,1ΟΝ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΛΥΚΟΒΡΥΣΗ,14123.0,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,30996.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"26154,42",142.0,143.0
25,38.0118649,23.8420916,12,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,5/8,ΑΓ. ΒΑΣΙΛΕΙΟΥ 12 Β Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15343,ΑΓ. ΒΑΣΙΛΕΙΟΥ,14Ο ΝΗΠΙΑΓΩΓΕΙΟ,ΠΕΥΚΑΚΙΑ,15343.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29064,96",0.0,0.0
26,38.0164111,23.6897318,43,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΑΓ. ΒΑΣΙΛΕΙΟΥ 43  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12134,ΑΓ. ΒΑΣΙΛΕΙΟΥ,22 ΔΗΜΟΤΙΚΟ - 2 ΝΗΠΙΑΓΩΓΕΙΟ,ΠΕΡΙΣΤΕΡΙ,12134.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21029,84",13.0,22.0
27,37.9861497,23.6653274,20,ΑΙΓΑΛΕΩ,5/8,ΑΓ. ΓΕΩΡΓΙΟΥ 20  Δήμος ΑΙΓΑΛΕΩ ΤΚ 12243,ΑΓ. ΓΕΩΡΓΙΟΥ,17 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΝΩ ΛΙΟΥΜΗ,12243.0,ΑΙΓΑΛΕΩ,64828.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20051,91",16.0,16.0
28,37.997004,23.6742952,21,ΑΙΓΑΛΕΩ,5/8,ΑΓ. ΓΕΩΡΓΙΟΥ 21  Δήμος ΑΙΓΑΛΕΩ ΤΚ 12243,ΑΓ. ΓΕΩΡΓΙΟΥ,13 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΝΩ ΛΙΟΥΜΗ,12243.0,ΑΙΓΑΛΕΩ,64828.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20051,91",0.0,0.0
29,38.0261386,23.690062,43,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΑΓ. ΓΕΩΡΓΙΟΥ 43  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12135,ΑΓ. ΓΕΩΡΓΙΟΥ,38 ΔΗΜΟΤΙΚΟ,ΑΝΘΟΥΠΟΛΗ,12135.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,18533,71.0,56.0
30,37.9763427,23.650645,58,ΚΟΡΥΔΑΛΛΟΥ,5/8,ΑΓ. ΓΕΩΡΓΙΟΥ 58  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18120,ΑΓ. ΓΕΩΡΓΙΟΥ,3 ΓΥΜΝΑΣΙΟ ΚΟΡ/ΛΟΥ,ΑΓ. ΓΕΩΡΓΙΟΣ,18120.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19697,43",118.0,96.0
31,37.9764522,23.6506165,60,ΚΟΡΥΔΑΛΛΟΥ,1,ΑΓ. ΓΕΩΡΓΙΟΥ 60 Α Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18120,ΑΓ. ΓΕΩΡΓΙΟΥ,17 ΔΗΜΟΤΙΚΟ,ΑΓ. ΓΕΩΡΓΙΟΣ,18120.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19697,43",12.0,24.0
32,37.9764522,23.6506165,60,ΚΟΡΥΔΑΛΛΟΥ,1,ΑΓ. ΓΕΩΡΓΙΟΥ 60 Β Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18120,ΑΓ. ΓΕΩΡΓΙΟΥ,16 ΔΗΜΟΤΙΚΟ,ΑΓ. ΓΕΩΡΓΙΟΣ,18120.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19697,43",149.0,134.0
33,38.0442411,23.6932963,101,ΠΕΤΡΟΥΠΟΛΕΩΣ,1.5,ΑΓ. ΓΛΥΚΕΡΙΑΣ 101  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΑΓ. ΓΛΥΚΕΡΙΑΣ,10 ΔΗΜΟΤΙΚΟ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",149.0,148.0
34,38.013296,23.6673314,3,ΧΑΙΔΑΡΙΟΥ,1.5,ΑΓ. ΓΡΗΓΟΡΟΥΣΑΣ 3 Α Δήμος ΧΑΙΔΑΡΙΟΥ ΤΚ 12461,ΑΓ. ΓΡΗΓΟΡΟΥΣΑΣ,4 ΔΗΜΟΤΙΚΟ,ΑΓ. ΓΡΗΓΟΡΟΥΣΑ,12461.0,ΧΑΪΔΑΡΙΟΥ,46983.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21504,68",0.0,0.0
35,37.9515665,23.6349377,37,ΔΡΑΠΕΤΣΩΝΑΣ,5/8,ΑΓ. ΔΗΜΗΤΡΙΟΥ 37  Δήμος ΔΡΑΠΕΤΣΩΝΑΣ ΤΚ 18648,ΑΓ. ΔΗΜΗΤΡΙΟΥ,3 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΔΡΑΠΕΤΣΩΝΑ,18648.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"18932,8",90.0,76.0
36,37.954015,23.6351245,69,ΠΕΙΡΑΙΩΣ,1,ΑΓ. ΔΗΜΗΤΡΙΟΥ 69  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΑΓ. ΔΗΜΗΤΡΙΟΥ,,ΜΑΝΙΑΤΙΚΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",66.0,61.5
37,37.7358513,23.6204644,186,ΑΓ. ΔΗΜΗΤΡΙΟΥ,5/8,ΑΓ. ΔΗΜΗΤΡΙΟΥ ΛΕΩΦ. 186  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17341,ΑΓ. ΔΗΜΗΤΡΙΟΥ ΛΕΩΦ.,,ΣΑΡΩΝΙΚΟΣ,17341.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21308,05",57.0,53.0
38,37.7358513,23.6204644,198,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1,ΑΓ. ΔΗΜΗΤΡΙΟΥ ΛΕΩΦ. 198  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17341,ΑΓ. ΔΗΜΗΤΡΙΟΥ ΛΕΩΦ.,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΣΑΡΩΝΙΚΟΣ,17341.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21308,05",0.0,0.0
39,38.5054294,21.8091625,18,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,1.5,ΑΓ. ΔΗΜΗΤΡΙΟΥ ΝΑΥΠΑΚΤΙΑΣ 18  Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15343,ΑΓ. ΔΗΜΗΤΡΙΟΥ ΝΑΥΠΑΚΤΙΑΣ,9 ΔΗΜΟΤΙΚΟ ΣΧΟΛ. ΕΠ. Α/ΘΜΙΑΣ ΕΚΠ,ΠΕΥΚΑΚΙΑ,15343.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29064,96",163.0,159.0
40,38.059989,23.844772,2,ΜΕΛΙΣΣΙΩΝ,5/8,ΑΓ. ΕΙΡΗΝΗΣ 2  Δήμος ΜΕΛΙΣΣΙΩΝ ΤΚ 15127,ΑΓ. ΕΙΡΗΝΗΣ,2 ΓΥΜΝΑΣΙΟ,ΜΕΛΙΣΣΙΑ,15127.0,ΠΕΝΤΕΛΗΣ,35439.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"32773,79",0.0,0.0
41,38.0602113,23.8438614,4,ΜΕΛΙΣΣΙΩΝ,1.5,ΑΓ. ΕΙΡΗΝΗΣ 4  Δήμος ΜΕΛΙΣΣΙΩΝ ΤΚ 15127,ΑΓ. ΕΙΡΗΝΗΣ,3 & 5 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΜΕΛΙΣΣΙΑ,15127.0,ΠΕΝΤΕΛΗΣ,35439.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"32773,79",156.0,141.0
42,38.0246909,23.7573096,5,ΓΑΛΑΤΣΙΟΥ,,ΑΓ. ΕΙΡΗΝΗΣ 5  Δήμος ΓΑΛΑΤΣΙΟΥ ΤΚ 11146,ΑΓ. ΕΙΡΗΝΗΣ,,ΓΑΛΑΤΣΙ,11146.0,ΓΑΛΑΤΣΙΟΥ,57917.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22428,94",12.0,9.0
43,38.0240627,23.7582393,9,ΓΑΛΑΤΣΙΟΥ,1,ΑΓ. ΕΙΡΗΝΗΣ 9  Δήμος ΓΑΛΑΤΣΙΟΥ ΤΚ 11146,ΑΓ. ΕΙΡΗΝΗΣ,4 ΛΥΚΕΙΟ,ΓΑΛΑΤΣΙ,11146.0,ΓΑΛΑΤΣΙΟΥ,57917.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22428,94",0.0,0.0
44,37.9539016,23.6933195,28,ΚΑΛΛΙΘΕΑΣ,1,ΑΓ. ΕΛΕΟΥΣΗΣ 28  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17675,ΑΓ. ΕΛΕΟΥΣΗΣ,26 ΔΗΜΟΤΙΚΟ-28 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΑΛΛΙΘΕΑ,17675.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"20793,77",0.0,0.0
45,38.0205311,23.6728475,54,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΑΓ. ΕΛΕΥΘΕΡΙΟΥ 54 Α Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12137,ΑΓ. ΕΛΕΥΘΕΡΙΟΥ,52ΟΝ ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΑΣΠΡΑ ΧΩΜΑΤΑ,12137.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19314,53",18.0,29.0
46,38.010411,23.8244292,27,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,5/8,ΑΓ. ΙΩΑΝΝΟΥ 27  Δήμος ΑΓ. ΠΑΡΑΣΚΕΥΗΣ ΤΚ 15342,ΑΓ. ΙΩΑΝΝΟΥ,1 ΔΗΜ-1 ΝΗΠ ΣΧΟΛ. ΕΠ. Α/ΘΜΙΑΣ ΕΚ,ΑΓ. ΠΑΡΑΣΚΕΥΗ,15342.0,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"34271,67",22.0,22.0
47,37.8428562,23.7679185,38,ΒΟΥΛΑΣ,,ΑΓ. ΙΩΑΝΝΟΥ 38  Δήμος ΒΟΥΛΑΣ ΤΚ 16673,ΑΓ. ΙΩΑΝΝΟΥ,ΔΗΜΟΤ ΣΧ ΒΟΥΛΑΣ,ΒΟΥΛΑ,16673.0,ΒΑΡΗΣ – ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,50585.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"40717,48",190.0,174.0
48,38.0400619,23.692797,43,ΠΕΤΡΟΥΠΟΛΕΩΣ,5/8,ΑΓ. ΙΩΑΝΝΟΥ 43  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13232,ΑΓ. ΙΩΑΝΝΟΥ,9 ΝΗΠΙΑΓΩΓΕΙΟ,ΠΕΤΡΟΥΠΟΛΗ,13232.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,,0.0,0.0
