ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
1317,37.9461212,23.752905,29,ΗΛΙΟΥΠΟΛΕΩΣ,1,ΣΑΡΩΝΙΚΟΥ 29 Β Δήμος ΗΛΙΟΥΠΟΛΕΩΣ ΤΚ 16345,ΣΑΡΩΝΙΚΟΥ,22 ΝΗΠΙΑΓ,ΑΓ. ΜΑΡΙΝΑ,16345.0,ΗΛΙΟΥΠΟΛΕΩΣ,76708.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23835,14",26.0,21.0
1318,38.0171844,23.6487949,61,ΧΑΙΔΑΡΙΟΥ,1.5,ΣΑΤΩΒΡΙΑΝΔΟΥ 61  Δήμος ΧΑΙΔΑΡΙΟΥ ΤΚ 12462,ΣΑΤΩΒΡΙΑΝΔΟΥ,3 ΛΥΚΕΙΟ,ΔΑΣΟΣ,12462.0,ΧΑΪΔΑΡΙΟΥ,46983.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"25738,07",0.0,0.0
1319,38.0261494,23.7388538,10,ΑΘΗΝΑΙΩΝ,1,ΣΕΚΟΥΝΔΟΥ 10  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11143,ΣΕΚΟΥΝΔΟΥ,59 ΓΥΜΝΑΣΙΟ-59 ΓΕΛ,ΠΡΟΜΠΟΝΑ,11143.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22171,16",0.0,0.0
1320,38.0095527,23.7328736,20,ΑΘΗΝΑΙΩΝ,1,ΣΕΡΙΦΟΥ 20  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11254,ΣΕΡΙΦΟΥ,48 ΔΗΜΟΤΙΚΟ- 62 ΝΗΠΙΑΓΩΓΕΙΟ,ΚΟΛΙΑΤΣΟΥ,11254.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"17642,93",29.0,19.0
1321,38.0010699,23.6704526,36,ΑΙΓΑΛΕΩ,1.5,ΣΕΡΙΦΟΥ 36  Δήμος ΑΙΓΑΛΕΩ ΤΚ 12243,ΣΕΡΙΦΟΥ,16 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΛΙΟΥΜΗ,12243.0,ΑΙΓΑΛΕΩ,64828.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20051,91",58.0,68.0
1322,38.0144281,23.7893669,25,ΧΑΛΑΝΔΡΙΟΥ,5/8,ΣΕΡΡΩΝ 25  Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15231,ΣΕΡΡΩΝ,7Ο ΓΥΜΝΑΣΙΟ ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙ,15231.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"31834,76",97.0,82.0
1323,37.9767812,23.653241,9,ΚΟΡΥΔΑΛΛΟΥ,5/8,ΣΕΡΡΩΝ 9  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18120,ΣΕΡΡΩΝ,18 ΔΗΜΟΤΙΚΟ,ΚΟΡΥΔΑΛΛΟΣ,18120.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19697,43",51.0,62.0
1324,38.0040279,23.7790167,21,ΝΕΟΥ ΨΥΧΙΚΟΥ,5/8,ΣΕΦΕΡΗ Γ. 21  Δήμος ΝΕΟΥ ΨΥΧΙΚΟΥ ΤΚ 15451,ΣΕΦΕΡΗ Γ.,1 ΔΗΜ ΣΧ Ν ΨΥΧΙΚΟΥ,ΝΕΟ ΨΥΧΙΚΟ,15451.0,ΦΙΛΟΘΕΗΣ – ΨΥΧΙΚΟΥ,27400.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"35671,5",144.0,139.0
1325,37.9372309,23.6513139,5,ΠΕΙΡΑΙΩΣ,,ΣΗΡΑΓΓΙΟΥ 5  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18534,ΣΗΡΑΓΓΙΟΥ,,ΠΑΣΑΛΙΜΑΝΙ,18534.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"24534,47",0.0,0.0
1326,37.9758563,23.625405600000004,13,ΚΕΡΑΤΣΙΝΙΟΥ,,ΣΗΣΤΟΥ 13 Ξ Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18758,ΣΗΣΤΟΥ,,ΑΓ. ΑΝΤΩΝΙΟΣ,18758.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19940,8",0.0,0.0
